TCP Port 3 | open | No banner detected
TCP Port 1 | open | No banner detected
TCP Port 2 | open | No banner detected
TCP Port 4 | open | No banner detected
TCP Port 5 | open | No banner detected
TCP Port 11 | open | No banner detected
TCP Port 13 | open | No banner detected
TCP Port 15 | open | No banner detected
TCP Port 14 | open | No banner detected
TCP Port 45 | open | No banner detected
TCP Port 12 | open | No banner detected
HTTP Port 80 | open | HTTP 200 | cloudflare
TCP Port 6 | open | No banner detected
TCP Port 7 | open | No banner detected
TCP Port 8 | open | No banner detected
TCP Port 9 | open | No banner detected
TCP Port 76 | open | No banner detected
TCP Port 121 | open | No banner detected
TCP Port 125 | open | No banner detected
TCP Port 128 | open | No banner detected
TCP Port 126 | open | No banner detected
TCP Port 129 | open | No banner detected
TCP Port 127 | open | No banner detected
TCP Port 204 | open | No banner detected
TCP Port 205 | open | No banner detected
TCP Port 207 | open | No banner detected
TCP Port 202 | open | No banner detected
TCP Port 201 | open | No banner detected
TCP Port 286 | open | No banner detected
TCP Port 352 | open | No banner detected
TCP Port 378 | open | No banner detected
TCP Port 380 | open | No banner detected
TCP Port 381 | open | No banner detected
TCP Port 382 | open | No banner detected
TCP Port 379 | open | No banner detected
TCP Port 386 | open | No banner detected
TCP Port 387 | open | No banner detected
TCP Port 385 | open | No banner detected
TCP Port 383 | open | No banner detected
TCP Port 384 | open | No banner detected
TCP Port 206 | open | No banner detected
TCP Port 215 | open | No banner detected
TCP Port 226 | open | No banner detected
TCP Port 216 | open | No banner detected
TCP Port 222 | open | No banner detected
TCP Port 287 | open | No banner detected
TCP Port 350 | open | No banner detected
TCP Port 377 | open | No banner detected
TCP Port 389 | open | No banner detected
TCP Port 390 | open | No banner detected
TCP Port 391 | open | No banner detected
TCP Port 392 | open | No banner detected
TCP Port 393 | open | No banner detected
TCP Port 394 | open | No banner detected
TCP Port 395 | open | No banner detected
TCP Port 398 | open | No banner detected
TCP Port 397 | open | No banner detected
TCP Port 399 | open | No banner detected
TCP Port 400 | open | No banner detected
TCP Port 396 | open | No banner detected
TCP Port 388 | open | No banner detected
TCP Port 417 | open | No banner detected
TCP Port 405 | open | No banner detected
TCP Port 406 | open | No banner detected
